# kapture format: 1.1
# sensor_id, name, sensor_type, [sensor_params]+
cam_02733, , camera, SIMPLE_RADIAL, 1200, 1600, 1833.43, 600, 800, -0.175888
cam_03101, , camera, SIMPLE_RADIAL, 1067, 1600, 1708.99, 533.5, 800, -0.0928378
cam_04842, , camera, SIMPLE_RADIAL, 1600, 1200, 1463.94, 800, 600, 0.0143573
cam_04312, , camera, SIMPLE_RADIAL, 1600, 1067, 1096.95, 800, 533.5, -0.0990252
cam_01103, , camera, SIMPLE_RADIAL, 1200, 1600, 1554.56, 600, 800, -0.0757847
cam_02844, , camera, SIMPLE_RADIAL, 1200, 1600, 1808.08, 600, 800, -0.164965
cam_04386, , camera, SIMPLE_RADIAL, 1067, 1600, 1092.08, 533.5, 800, -0.078553
cam_00647, , camera, SIMPLE_RADIAL, 1200, 1600, 1567.61, 600, 800, -0.0758142
cam_03556, , camera, SIMPLE_RADIAL, 1600, 1200, 1562.14, 800, 600, -0.0740994
cam_00897, , camera, SIMPLE_RADIAL, 1600, 1200, 1551.83, 800, 600, -0.0679125
cam_04636, , camera, SIMPLE_RADIAL, 768, 1024, 959.87, 384, 512, 0.0945229
cam_01170, , camera, SIMPLE_RADIAL, 1200, 1600, 1551.56, 600, 800, -0.0678872
cam_04379, , camera, SIMPLE_RADIAL, 1067, 1600, 1092.15, 533.5, 800, -0.0851492
cam_02429, , camera, SIMPLE_RADIAL, 1600, 1067, 1340.03, 800, 533.5, -0.0953495
cam_00688, , camera, SIMPLE_RADIAL, 1600, 1067, 1115.82, 800, 533.5, -0.0786051
cam_02686, , camera, SIMPLE_RADIAL, 1200, 1600, 1808.67, 600, 800, -0.160165
cam_03157, , camera, SIMPLE_RADIAL, 1067, 1600, 3186.88, 533.5, 800, 0.0418818
cam_00907, , camera, SIMPLE_RADIAL, 1600, 1200, 1561.04, 800, 600, -0.0699663
cam_04646, , camera, SIMPLE_RADIAL, 768, 1024, 889.56, 384, 512, 0.168665
cam_02905, , camera, SIMPLE_RADIAL, 1200, 1600, 1834.82, 600, 800, -0.200691
cam_00650, , camera, SIMPLE_RADIAL, 1600, 1067, 1105.07, 800, 533.5, -0.0761871
cam_03566, , camera, SIMPLE_RADIAL, 1600, 1200, 1559.68, 800, 600, -0.0677729
cam_03571, , camera, SIMPLE_RADIAL, 1600, 1200, 1516.23, 800, 600, -0.0603201
cam_02971, , camera, SIMPLE_RADIAL, 1200, 1600, 1813.47, 600, 800, -0.17521
cam_04712, , camera, SIMPLE_RADIAL, 1024, 768, 977.697, 512, 384, 0.0272128
cam_02969, , camera, SIMPLE_RADIAL, 1200, 1600, 1801.73, 600, 800, -0.172293
cam_04710, , camera, SIMPLE_RADIAL, 1024, 768, 968.247, 512, 384, 0.0358746
cam_02712, , camera, SIMPLE_RADIAL, 1200, 1600, 1765.59, 600, 800, -0.182894
cam_01758, , camera, SIMPLE_RADIAL, 1600, 1067, 1331.57, 800, 533.5, -0.0770302
cam_04967, , camera, SIMPLE_RADIAL, 1600, 1200, 1451.87, 800, 600, -0.00930992
cam_02953, , camera, SIMPLE_RADIAL, 1200, 1600, 1819, 600, 800, -0.192716
cam_04694, , camera, SIMPLE_RADIAL, 768, 1024, 969.306, 384, 512, 0.0930871
cam_02696, , camera, SIMPLE_RADIAL, 1200, 1600, 1821.77, 600, 800, -0.176984
cam_04951, , camera, SIMPLE_RADIAL, 1600, 1200, 1443.54, 800, 600, -0.0393901
cam_04788, , camera, SIMPLE_RADIAL, 768, 1024, 968.807, 384, 512, 0.0556035
cam_01049, , camera, SIMPLE_RADIAL, 1600, 1200, 1558.54, 800, 600, -0.0721532
cam_02790, , camera, SIMPLE_RADIAL, 1200, 1600, 1830.05, 600, 800, -0.191451
cam_04515, , camera, SIMPLE_RADIAL, 1024, 768, 1105.46, 512, 384, 0.277866
cam_01306, , camera, SIMPLE_RADIAL, 1200, 1600, 1553.65, 600, 800, -0.0777548
cam_04890, , camera, SIMPLE_RADIAL, 1600, 1200, 1478.7, 800, 600, -0.0106034
cam_01681, , camera, SIMPLE_RADIAL, 1600, 1067, 1321.26, 800, 533.5, -0.067345
cam_01048, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.87, 800, 600, -0.0769365
cam_04787, , camera, SIMPLE_RADIAL, 1024, 768, 973.202, 512, 384, 0.015012
cam_04514, , camera, SIMPLE_RADIAL, 1024, 768, 979.278, 512, 384, 0.0517174
cam_01305, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.25, 600, 800, -0.073145
cam_04533, , camera, SIMPLE_RADIAL, 1024, 768, 991.441, 512, 384, 0.0603324
cam_00794, , camera, SIMPLE_RADIAL, 1200, 1600, 1548.86, 600, 800, -0.0822037
cam_02535, , camera, SIMPLE_RADIAL, 1067, 1600, 1975.36, 533.5, 800, -0.0611808
cam_01046, , camera, SIMPLE_RADIAL, 1067, 1600, 2258.47, 533.5, 800, -0.0496043
cam_04785, , camera, SIMPLE_RADIAL, 768, 1024, 866.117, 384, 512, 0.0454917
cam_04512, , camera, SIMPLE_RADIAL, 1024, 768, 965.272, 512, 384, 0.0385169
cam_01303, , camera, SIMPLE_RADIAL, 1200, 1600, 1558.67, 600, 800, -0.0777533
cam_04883, , camera, SIMPLE_RADIAL, 1600, 1200, 1452.06, 800, 600, -0.0110862
cam_01674, , camera, SIMPLE_RADIAL, 1067, 1600, 1387.37, 533.5, 800, -0.142288
cam_01041, , camera, SIMPLE_RADIAL, 1600, 1200, 1552.18, 800, 600, -0.0648072
cam_04780, , camera, SIMPLE_RADIAL, 1024, 768, 935.903, 512, 384, 0.0340726
cam_04507, , camera, SIMPLE_RADIAL, 768, 1024, 959.185, 384, 512, 0.036379
cam_01298, , camera, SIMPLE_RADIAL, 1200, 1600, 1560.62, 600, 800, -0.0782367
cam_01025, , camera, SIMPLE_RADIAL, 1200, 1600, 1583.35, 600, 800, -0.0657129
cam_04764, , camera, SIMPLE_RADIAL, 1024, 768, 976.382, 512, 384, -0.011054
cam_04491, , camera, SIMPLE_RADIAL, 1024, 768, 995.145, 512, 384, -0.059443
cam_01282, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.87, 800, 600, -0.0764416
cam_01715, , camera, SIMPLE_RADIAL, 1067, 1600, 1350.86, 533.5, 800, -0.0934744
cam_02942, , camera, SIMPLE_RADIAL, 1600, 1200, 1822.1, 800, 600, -0.171412
cam_00944, , camera, SIMPLE_RADIAL, 1600, 1200, 1552.86, 800, 600, -0.0734892
cam_02926, , camera, SIMPLE_RADIAL, 1200, 1600, 1814.14, 600, 800, -0.179108
cam_04667, , camera, SIMPLE_RADIAL, 1024, 768, 977.793, 512, 384, 0.0417887
cam_00928, , camera, SIMPLE_RADIAL, 1600, 1200, 1568.19, 800, 600, -0.0706813
cam_01023, , camera, SIMPLE_RADIAL, 1200, 1600, 1550.12, 600, 800, -0.0764316
cam_04762, , camera, SIMPLE_RADIAL, 768, 1024, 975.055, 384, 512, 0.041891
cam_04489, , camera, SIMPLE_RADIAL, 1024, 768, 972.625, 512, 384, 0.0466232
cam_01280, , camera, SIMPLE_RADIAL, 1600, 1067, 3630.2, 800, 533.5, 0.0881805
cam_05019, , camera, SIMPLE_RADIAL, 1600, 1200, 1462.86, 800, 600, -0.0445699
cam_01038, , camera, SIMPLE_RADIAL, 1600, 1200, 1556.27, 800, 600, -0.0790577
cam_04504, , camera, SIMPLE_RADIAL, 1024, 768, 967.811, 512, 384, 0.00186908
cam_01295, , camera, SIMPLE_RADIAL, 1200, 1600, 1551.85, 600, 800, -0.0606891
cam_01199, , camera, SIMPLE_RADIAL, 1200, 1600, 1560.32, 600, 800, -0.0861933
cam_02940, , camera, SIMPLE_RADIAL, 1600, 1200, 1821.66, 800, 600, -0.168533
cam_00942, , camera, SIMPLE_RADIAL, 1600, 1200, 1555.82, 800, 600, -0.077101
cam_01021, , camera, SIMPLE_RADIAL, 1200, 1600, 1538.86, 600, 800, -0.0730032
cam_04760, , camera, SIMPLE_RADIAL, 768, 1024, 971.031, 384, 512, 0.00161843
cam_04487, , camera, SIMPLE_RADIAL, 1024, 768, 979.603, 512, 384, 0.0360405
cam_01278, , camera, SIMPLE_RADIAL, 1600, 1200, 1546.14, 800, 600, -0.0794758
cam_05017, , camera, SIMPLE_RADIAL, 1600, 1200, 1466.14, 800, 600, -0.0429754
cam_01036, , camera, SIMPLE_RADIAL, 1600, 1200, 1552.9, 800, 600, -0.0768296
cam_04775, , camera, SIMPLE_RADIAL, 768, 1024, 973.325, 384, 512, 0.0176531
cam_04502, , camera, SIMPLE_RADIAL, 1024, 768, 976.897, 512, 384, 0.047196
cam_01293, , camera, SIMPLE_RADIAL, 1200, 1600, 1552.44, 600, 800, -0.0701554
cam_04522, , camera, SIMPLE_RADIAL, 1024, 768, 977.312, 512, 384, 0.0599571
cam_02524, , camera, SIMPLE_RADIAL, 1067, 1600, 1316.15, 533.5, 800, -0.10846
cam_04935, , camera, SIMPLE_RADIAL, 1600, 1200, 1479.42, 800, 600, -0.0240452
cam_02937, , camera, SIMPLE_RADIAL, 1600, 1200, 1800.84, 800, 600, -0.16296
cam_00939, , camera, SIMPLE_RADIAL, 1600, 1200, 1553.64, 800, 600, -0.0698043
cam_04389, , camera, SIMPLE_RADIAL, 1067, 1600, 1097.77, 533.5, 800, -0.0833763
cam_01180, , camera, SIMPLE_RADIAL, 1600, 1067, 1676.67, 800, 533.5, -0.0781911
cam_04919, , camera, SIMPLE_RADIAL, 1200, 1600, 1447, 600, 800, 0.0121389
cam_04757, , camera, SIMPLE_RADIAL, 1024, 768, 939.112, 512, 384, 0.0401805
cam_01018, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.57, 600, 800, -0.0847789
cam_04484, , camera, SIMPLE_RADIAL, 1024, 768, 966.059, 512, 384, 0.00380018
cam_01275, , camera, SIMPLE_RADIAL, 1200, 1600, 1546.43, 600, 800, -0.0699286
cam_02936, , camera, SIMPLE_RADIAL, 1200, 1600, 1803.08, 600, 800, -0.178983
cam_00938, , camera, SIMPLE_RADIAL, 1600, 1200, 1553.6, 800, 600, -0.0729261
cam_04934, , camera, SIMPLE_RADIAL, 1600, 1200, 1458.28, 800, 600, -0.0495133
cam_03031, , camera, SIMPLE_RADIAL, 1200, 1600, 1802.79, 600, 800, -0.171513
cam_04499, , camera, SIMPLE_RADIAL, 768, 1024, 990.719, 384, 512, 0.0574332
cam_01290, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.01, 600, 800, -0.0701471
cam_02920, , camera, SIMPLE_RADIAL, 1600, 1200, 1833.23, 800, 600, -0.193538
cam_04661, , camera, SIMPLE_RADIAL, 1024, 768, 963.936, 512, 384, 0.0216025
cam_00922, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.07, 800, 600, -0.0732544
cam_01017, , camera, SIMPLE_RADIAL, 1200, 1600, 1552.5, 600, 800, -0.0639879
cam_04756, , camera, SIMPLE_RADIAL, 768, 1024, 986.86, 384, 512, 0.0565728
cam_04483, , camera, SIMPLE_RADIAL, 1024, 768, 966.317, 512, 384, 0.037035
cam_01274, , camera, SIMPLE_RADIAL, 1200, 1600, 1561.68, 600, 800, -0.076051
cam_04874, , camera, SIMPLE_RADIAL, 1200, 1600, 1486.87, 600, 800, -0.0245579
cam_01665, , camera, SIMPLE_RADIAL, 1067, 1600, 1332.93, 533.5, 800, -0.102252
cam_01032, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.48, 800, 600, -0.0651452
cam_04498, , camera, SIMPLE_RADIAL, 1024, 768, 935.008, 512, 384, 0.0616897
cam_01289, , camera, SIMPLE_RADIAL, 1200, 1600, 1555.47, 600, 800, -0.0715137
cam_04648, , camera, SIMPLE_RADIAL, 768, 1024, 977.141, 384, 512, 0.0616143
cam_00909, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.75, 800, 600, -0.0727088
cam_04910, , camera, SIMPLE_RADIAL, 1600, 1200, 1471.49, 800, 600, -0.0537207
cam_04475, , camera, SIMPLE_RADIAL, 1067, 1600, 1095.6, 533.5, 800, -0.0849742
cam_01266, , camera, SIMPLE_RADIAL, 1600, 1200, 1562.66, 800, 600, -0.0780406
cam_04943, , camera, SIMPLE_RADIAL, 1600, 1200, 1521.55, 800, 600, -0.0175071
cam_02945, , camera, SIMPLE_RADIAL, 1200, 1600, 1813.7, 600, 800, -0.152874
cam_03518, , camera, SIMPLE_RADIAL, 1600, 1200, 1553.2, 800, 600, -0.0683366
cam_02695, , camera, SIMPLE_RADIAL, 1200, 1600, 1783.24, 600, 800, -0.176461
cam_00954, , camera, SIMPLE_RADIAL, 1600, 1200, 1561.19, 800, 600, -0.0775721
cam_04693, , camera, SIMPLE_RADIAL, 768, 1024, 980.72, 384, 512, 0.111283
cam_02917, , camera, SIMPLE_RADIAL, 1600, 1200, 1816.62, 800, 600, -0.171709
cam_04480, , camera, SIMPLE_RADIAL, 1024, 768, 977.494, 512, 384, 0.0476376
cam_01271, , camera, SIMPLE_RADIAL, 1200, 1600, 1549.65, 600, 800, -0.0751144
cam_02900, , camera, SIMPLE_RADIAL, 1600, 1200, 1820.98, 800, 600, -0.163285
cam_04641, , camera, SIMPLE_RADIAL, 1024, 768, 1051.15, 512, 384, 0.0812254
cam_00902, , camera, SIMPLE_RADIAL, 1067, 1600, 1514.25, 533.5, 800, -0.105931
cam_02944, , camera, SIMPLE_RADIAL, 1200, 1600, 1818.19, 600, 800, -0.167733
cam_04942, , camera, SIMPLE_RADIAL, 1200, 1600, 1486.03, 600, 800, -0.0613515
cam_04685, , camera, SIMPLE_RADIAL, 1024, 768, 911.583, 512, 384, 0.0163717
cam_00946, , camera, SIMPLE_RADIAL, 1067, 1600, 2274.62, 533.5, 800, -0.0419268
cam_04363, , camera, SIMPLE_RADIAL, 1067, 1600, 1094.22, 533.5, 800, -0.0858662
cam_01154, , camera, SIMPLE_RADIAL, 1200, 1600, 1565.01, 600, 800, -0.0994884
cam_04893, , camera, SIMPLE_RADIAL, 1600, 1200, 1495.32, 800, 600, -0.0247323
cam_01195, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.37, 600, 800, -0.0730901
cam_04404, , camera, SIMPLE_RADIAL, 1600, 1067, 1852.86, 800, 533.5, -0.0713439
cam_00665, , camera, SIMPLE_RADIAL, 1600, 1067, 1101.08, 800, 533.5, -0.0740417
cam_02369, , camera, SIMPLE_RADIAL, 1600, 1067, 1321.8, 800, 533.5, -0.100387
cam_02943, , camera, SIMPLE_RADIAL, 1200, 1600, 1827.07, 600, 800, -0.183694
cam_04941, , camera, SIMPLE_RADIAL, 1600, 1200, 1477.11, 800, 600, -0.0310616
cam_02624, , camera, SIMPLE_RADIAL, 1067, 1600, 3833.42, 533.5, 800, 0.106923
cam_04365, , camera, SIMPLE_RADIAL, 1067, 1600, 1091.92, 533.5, 800, -0.0771301
cam_00351, , camera, SIMPLE_RADIAL, 1600, 1067, 1098.3, 800, 533.5, -0.0723605
cam_03560, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.82, 800, 600, -0.0662977
cam_00901, , camera, SIMPLE_RADIAL, 1600, 1200, 1558.24, 800, 600, -0.0728057
cam_04640, , camera, SIMPLE_RADIAL, 768, 1024, 951.595, 384, 512, 0.0585064
cam_01174, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.72, 600, 800, -0.111738
cam_04383, , camera, SIMPLE_RADIAL, 1067, 1600, 1096.76, 533.5, 800, -0.0867038
cam_03465, , camera, SIMPLE_RADIAL, 1200, 1600, 1548.11, 600, 800, -0.0701239
cam_04933, , camera, SIMPLE_RADIAL, 1600, 1200, 1468.65, 800, 600, -0.0331845
cam_01724, , camera, SIMPLE_RADIAL, 1067, 1600, 1315.38, 533.5, 800, -0.119355
cam_05206, , camera, SIMPLE_RADIAL, 1600, 1200, 1474.1, 800, 600, -0.00447039
cam_04676, , camera, SIMPLE_RADIAL, 1024, 768, 958.564, 512, 384, 0.0191607
cam_01467, , camera, SIMPLE_RADIAL, 1067, 1600, 1319.44, 533.5, 800, -0.0937862
cam_01499, , camera, SIMPLE_RADIAL, 1067, 1600, 1341.96, 533.5, 800, -0.0967313
cam_04708, , camera, SIMPLE_RADIAL, 1024, 768, 991.256, 512, 384, 0.031755
cam_01756, , camera, SIMPLE_RADIAL, 1600, 1067, 1330.87, 800, 533.5, -0.0707146
cam_04965, , camera, SIMPLE_RADIAL, 1600, 1200, 1470.41, 800, 600, -0.0361711
cam_02909, , camera, SIMPLE_RADIAL, 1200, 1600, 1921.87, 600, 800, -0.159779
cam_04650, , camera, SIMPLE_RADIAL, 768, 1024, 958.072, 384, 512, -0.019691
cam_00911, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.67, 800, 600, -0.0742152
cam_03508, , camera, SIMPLE_RADIAL, 1200, 1600, 1561.68, 600, 800, -0.0801786
cam_01175, , camera, SIMPLE_RADIAL, 1600, 1200, 1541.87, 800, 600, -0.0530249
cam_04384, , camera, SIMPLE_RADIAL, 1067, 1600, 1098.15, 533.5, 800, -0.0871288
cam_03509, , camera, SIMPLE_RADIAL, 1200, 1600, 1546.98, 600, 800, -0.0776773
cam_01176, , camera, SIMPLE_RADIAL, 1200, 1600, 1549.32, 600, 800, -0.101203
cam_04385, , camera, SIMPLE_RADIAL, 1067, 1600, 1099.61, 533.5, 800, -0.0800028
cam_01223, , camera, SIMPLE_RADIAL, 1200, 1600, 1551.57, 600, 800, -0.0739307
cam_04432, , camera, SIMPLE_RADIAL, 1600, 1067, 1858.31, 800, 533.5, -0.0677171
cam_02434, , camera, SIMPLE_RADIAL, 1600, 1067, 1337.56, 800, 533.5, -0.104673
cam_03514, , camera, SIMPLE_RADIAL, 1600, 1200, 1558.97, 800, 600, -0.074714
cam_04726, , camera, SIMPLE_RADIAL, 768, 1024, 974.241, 384, 512, -0.00657929
cam_00987, , camera, SIMPLE_RADIAL, 1600, 1200, 1563.6, 800, 600, -0.0710349
cam_02728, , camera, SIMPLE_RADIAL, 1200, 1600, 1810.91, 600, 800, -0.169314
cam_01774, , camera, SIMPLE_RADIAL, 1063, 1600, 1378.21, 531.5, 800, -0.0712529
cam_04983, , camera, SIMPLE_RADIAL, 1600, 1200, 1476.86, 800, 600, -0.0570985
cam_01228, , camera, SIMPLE_RADIAL, 1200, 1600, 1558.29, 600, 800, -0.0778168
cam_04437, , camera, SIMPLE_RADIAL, 1600, 1067, 1861.73, 800, 533.5, -0.0588012
cam_02439, , camera, SIMPLE_RADIAL, 1600, 1067, 1329.24, 800, 533.5, -0.0974605
cam_01044, , camera, SIMPLE_RADIAL, 1200, 1600, 1564.55, 600, 800, -0.0802877
cam_04783, , camera, SIMPLE_RADIAL, 1024, 768, 980.309, 512, 384, 0.0835923
cam_04510, , camera, SIMPLE_RADIAL, 1024, 768, 951.651, 512, 384, 0.04434
cam_01301, , camera, SIMPLE_RADIAL, 1600, 1200, 1559.61, 800, 600, -0.0698942
cam_01723, , camera, SIMPLE_RADIAL, 1600, 1067, 1340.47, 800, 533.5, -0.090076
cam_04932, , camera, SIMPLE_RADIAL, 1600, 1200, 1457.91, 800, 600, -0.0272587
cam_02934, , camera, SIMPLE_RADIAL, 1200, 1600, 1805.54, 600, 800, -0.180221
cam_01466, , camera, SIMPLE_RADIAL, 1067, 1600, 1318.62, 533.5, 800, -0.0886603
cam_04675, , camera, SIMPLE_RADIAL, 1024, 768, 986.533, 512, 384, 0.0808682
cam_00936, , camera, SIMPLE_RADIAL, 1600, 1200, 1553.6, 800, 600, -0.0768914
cam_04884, , camera, SIMPLE_RADIAL, 1600, 1200, 1493.11, 800, 600, -0.054543
cam_01675, , camera, SIMPLE_RADIAL, 1067, 1600, 1321.38, 533.5, 800, -0.0978743
cam_03561, , camera, SIMPLE_RADIAL, 1600, 1200, 1563.15, 800, 600, -0.0791766
cam_03506, , camera, SIMPLE_RADIAL, 1200, 1600, 1553.27, 600, 800, -0.0679197
cam_03511, , camera, SIMPLE_RADIAL, 1600, 1200, 1554.97, 800, 600, -0.0716301
cam_04723, , camera, SIMPLE_RADIAL, 1024, 768, 971.292, 512, 384, 0.0222719
cam_04474, , camera, SIMPLE_RADIAL, 1600, 1067, 1867.62, 800, 533.5, -0.0775042
cam_01265, , camera, SIMPLE_RADIAL, 1200, 1600, 1564.89, 600, 800, -0.0709166
cam_05004, , camera, SIMPLE_RADIAL, 1600, 1200, 1464.43, 800, 600, -0.0353155
cam_05099, , camera, SIMPLE_RADIAL, 1200, 1600, 1455.76, 600, 800, -0.0249535
cam_03358, , camera, SIMPLE_RADIAL, 1067, 1600, 1299.49, 533.5, 800, -0.0958476
cam_04826, , camera, SIMPLE_RADIAL, 1024, 768, 970.703, 512, 384, 0.0167398
cam_01617, , camera, SIMPLE_RADIAL, 1067, 1600, 1340.56, 533.5, 800, -0.079625
cam_04804, , camera, SIMPLE_RADIAL, 768, 1024, 972.216, 384, 512, 0.0600742
cam_01595, , camera, SIMPLE_RADIAL, 1067, 1600, 1338.4, 533.5, 800, -0.0990419
cam_01492, , camera, SIMPLE_RADIAL, 1067, 1600, 1349.3, 533.5, 800, -0.101923
cam_04701, , camera, SIMPLE_RADIAL, 1024, 768, 972.756, 512, 384, 0.0250012
cam_02703, , camera, SIMPLE_RADIAL, 1200, 1600, 1807.66, 600, 800, -0.165012
cam_01749, , camera, SIMPLE_RADIAL, 1067, 1600, 1334.07, 533.5, 800, -0.102423
cam_04958, , camera, SIMPLE_RADIAL, 1200, 1600, 1453.22, 600, 800, -0.0168642
cam_01092, , camera, SIMPLE_RADIAL, 1200, 1600, 1548.1, 600, 800, -0.0736222
cam_04831, , camera, SIMPLE_RADIAL, 1024, 768, 978.549, 512, 384, 0.065348
cam_03090, , camera, SIMPLE_RADIAL, 1067, 1600, 1610.51, 533.5, 800, -0.087991
cam_02928, , camera, SIMPLE_RADIAL, 1200, 1600, 1805.01, 600, 800, -0.181569
cam_01460, , camera, SIMPLE_RADIAL, 1067, 1600, 1321.38, 533.5, 800, -0.114597
cam_04669, , camera, SIMPLE_RADIAL, 1024, 768, 973.89, 512, 384, 0.0604152
cam_00930, , camera, SIMPLE_RADIAL, 1600, 1200, 1556.78, 800, 600, -0.0805223
cam_01187, , camera, SIMPLE_RADIAL, 1600, 1200, 1519.64, 800, 600, -0.0554897
cam_04926, , camera, SIMPLE_RADIAL, 1200, 1600, 1465.66, 600, 800, -0.0275502
cam_02938, , camera, SIMPLE_RADIAL, 1600, 1200, 1821.31, 800, 600, -0.186689
cam_00940, , camera, SIMPLE_RADIAL, 1600, 1200, 1552.88, 800, 600, -0.0748831
cam_02681, , camera, SIMPLE_RADIAL, 1200, 1600, 1826.57, 600, 800, -0.165134
cam_04936, , camera, SIMPLE_RADIAL, 1600, 1200, 1459.46, 800, 600, -0.0184933
cam_04558, , camera, SIMPLE_RADIAL, 1024, 768, 989.536, 512, 384, 0.0457557
cam_01349, , camera, SIMPLE_RADIAL, 1600, 1200, 1551.86, 800, 600, -0.0848218
cam_05088, , camera, SIMPLE_RADIAL, 1600, 1200, 1474.69, 800, 600, -0.0460582
cam_03347, , camera, SIMPLE_RADIAL, 1067, 1600, 1487.17, 533.5, 800, -0.100213
cam_04815, , camera, SIMPLE_RADIAL, 1024, 768, 946.214, 512, 384, 0.0430809
cam_01606, , camera, SIMPLE_RADIAL, 1067, 1600, 1340.1, 533.5, 800, -0.110746
cam_00991, , camera, SIMPLE_RADIAL, 1600, 1200, 1557.08, 800, 600, -0.0725178
cam_04730, , camera, SIMPLE_RADIAL, 1024, 768, 987.803, 512, 384, 0.0858899
cam_03460, , camera, SIMPLE_RADIAL, 1200, 1600, 1549.16, 600, 800, -0.0784002
cam_05201, , camera, SIMPLE_RADIAL, 1600, 1200, 1439.94, 800, 600, -0.0244193
cam_01212, , camera, SIMPLE_RADIAL, 1600, 1200, 1617.82, 800, 600, -0.0447972
cam_04421, , camera, SIMPLE_RADIAL, 1600, 1067, 1858.17, 800, 533.5, -0.0656053
cam_00682, , camera, SIMPLE_RADIAL, 1600, 1067, 1103.81, 800, 533.5, -0.0736507
cam_02423, , camera, SIMPLE_RADIAL, 1600, 1067, 1333.71, 800, 533.5, -0.0964507
cam_03503, , camera, SIMPLE_RADIAL, 1200, 1600, 1553.29, 600, 800, -0.0695499
cam_00651, , camera, SIMPLE_RADIAL, 1200, 1600, 1558.92, 600, 800, -0.0761359
cam_05194, , camera, SIMPLE_RADIAL, 1600, 1200, 1470.35, 800, 600, -0.0410527
cam_04664, , camera, SIMPLE_RADIAL, 1024, 768, 970.41, 512, 384, 0.0552363
cam_01455, , camera, SIMPLE_RADIAL, 1067, 1600, 1341.55, 533.5, 800, -0.0915847
cam_03491, , camera, SIMPLE_RADIAL, 1067, 1600, 1333.56, 533.5, 800, -0.0701587
cam_00903, , camera, SIMPLE_RADIAL, 1600, 1200, 1560.82, 800, 600, -0.072141
cam_04642, , camera, SIMPLE_RADIAL, 1024, 768, 984.853, 512, 384, 0.0654363
cam_02901, , camera, SIMPLE_RADIAL, 1600, 1200, 1818.19, 800, 600, -0.184221
cam_04464, , camera, SIMPLE_RADIAL, 1067, 1600, 1094.65, 533.5, 800, -0.0803668
cam_01255, , camera, SIMPLE_RADIAL, 1200, 1600, 1560.21, 600, 800, -0.0753678
cam_04477, , camera, SIMPLE_RADIAL, 1067, 1600, 1088.45, 533.5, 800, -0.0790754
cam_01268, , camera, SIMPLE_RADIAL, 1200, 1600, 1546.51, 600, 800, -0.0798313
cam_04373, , camera, SIMPLE_RADIAL, 1067, 1600, 1097.45, 533.5, 800, -0.0856326
cam_01164, , camera, SIMPLE_RADIAL, 1600, 1200, 1546.76, 800, 600, -0.120713
cam_04903, , camera, SIMPLE_RADIAL, 1600, 1200, 1454.38, 800, 600, 0.01825
cam_01772, , camera, SIMPLE_RADIAL, 1063, 1600, 1377.2, 531.5, 800, -0.0836001
cam_03513, , camera, SIMPLE_RADIAL, 1067, 1600, 1312.08, 533.5, 800, -0.0856508
cam_00947, , camera, SIMPLE_RADIAL, 1600, 1200, 1559.29, 800, 600, -0.0767458
cam_02688, , camera, SIMPLE_RADIAL, 1200, 1600, 1812.52, 600, 800, -0.184507
cam_03547, , camera, SIMPLE_RADIAL, 1600, 1200, 1555.27, 800, 600, -0.0585464
cam_05193, , camera, SIMPLE_RADIAL, 1200, 1600, 1480.03, 600, 800, -0.0118895
cam_00658, , camera, SIMPLE_RADIAL, 1200, 1600, 1556.46, 600, 800, -0.0778522
cam_01052, , camera, SIMPLE_RADIAL, 1200, 1600, 1547.67, 600, 800, -0.0807654
cam_04791, , camera, SIMPLE_RADIAL, 1024, 768, 985.866, 512, 384, 0.111342
cam_01235, , camera, SIMPLE_RADIAL, 1200, 1600, 1548.22, 600, 800, -0.0741081
cam_04444, , camera, SIMPLE_RADIAL, 1067, 1600, 1100.56, 533.5, 800, -0.0890333
cam_04994, , camera, SIMPLE_RADIAL, 1600, 1200, 1455.28, 800, 600, -0.0234994
cam_01785, , camera, SIMPLE_RADIAL, 1063, 1600, 1382.46, 531.5, 800, -0.113092
cam_05321, , camera, SIMPLE_RADIAL, 1024, 768, 324.423, 512, 384, 0.0379842
cam_02947, , camera, SIMPLE_RADIAL, 1200, 1600, 1816.31, 600, 800, -0.165421
cam_04688, , camera, SIMPLE_RADIAL, 1024, 768, 671.99, 512, 384, 0.00679182
cam_00949, , camera, SIMPLE_RADIAL, 1200, 1600, 1560.99, 600, 800, -0.0808943
cam_04945, , camera, SIMPLE_RADIAL, 1600, 1200, 1493.73, 800, 600, -0.0437557
cam_01346, , camera, SIMPLE_RADIAL, 1200, 1600, 1565.02, 600, 800, -0.078282
cam_04555, , camera, SIMPLE_RADIAL, 1024, 768, 971.001, 512, 384, 0.019198
